0	0
8192	51471
16384	102933
24576	154381
32768	205805
40960	257198
49152	308552
57344	359860
65536	411114
73728	462305
81920	513428
90112	564472
98304	615432
106496	666299
114688	717066
122880	767725
131072	818268
139264	868688
147456	918977
155648	969128
163840	1019133
172032	1068984
180224	1118674
188416	1168196
196608	1217542
204800	1266705
212992	1315677
221184	1364450
229376	1413018
237568	1461374
245760	1509509
253952	1557417
262144	1605091
270336	1652522
278528	1699705
286720	1746632
294912	1793296
303104	1839690
311296	1885807
319488	1931639
327680	1977181
335872	2022425
344064	2067365
352256	2111993
360448	2156303
368640	2200289
376832	2243943
385024	2287259
393216	2330230
401408	2372851
409600	2415115
417792	2457014
425984	2498544
434176	2539697
442368	2580468
450560	2620851
458752	2660838
466944	2700425
475136	2739605
483328	2778373
491520	2816722
499712	2854647
507904	2892143
516096	2929202
524288	2965821
532480	3001993
540672	3037712
548864	3072975
557056	3107774
565248	3142106
573440	3175964
581632	3209344
589824	3242241
598016	3274649
606208	3306565
614400	3337982
622592	3368897
630784	3399304
638976	3429199
647168	3458578
655360	3487436
663552	3515769
671744	3543573
679936	3570842
688128	3597575
696320	3623765
704512	3649409
712704	3674504
720896	3699046
729088	3723030
737280	3746454
745472	3769314
753664	3791606
761856	3813327
770048	3834474
778240	3855043
786432	3875032
794624	3894437
802816	3913255
811008	3931485
819200	3949122
827392	3966165
835584	3982610
843776	3998455
851968	4013699
860160	4028338
868352	4042370
876544	4055793
884736	4068606
892928	4080806
901120	4092391
909312	4103360
917504	4113712
925696	4123443
933888	4132554
942080	4141042
950272	4148907
958464	4156147
966656	4162761
974848	4168748
983040	4174107
991232	4178838
999424	4182939
1007616	4186411
1015808	4189252
1024000	4191462
1032192	4193041
1040384	4193988
1048576	4194304
1056768	4193988
1064960	4193041
1073152	4191462
1081344	4189252
1089536	4186411
1097728	4182939
1105920	4178838
1114112	4174107
1122304	4168748
1130496	4162761
1138688	4156147
1146880	4148907
1155072	4141042
1163264	4132554
1171456	4123443
1179648	4113712
1187840	4103360
1196032	4092391
1204224	4080806
1212416	4068606
1220608	4055793
1228800	4042370
1236992	4028338
1245184	4013699
1253376	3998455
1261568	3982610
1269760	3966165
1277952	3949122
1286144	3931485
1294336	3913255
1302528	3894437
1310720	3875032
1318912	3855043
1327104	3834474
1335296	3813327
1343488	3791606
1351680	3769314
1359872	3746454
1368064	3723030
1376256	3699046
1384448	3674504
1392640	3649409
1400832	3623765
1409024	3597575
1417216	3570842
1425408	3543573
1433600	3515769
1441792	3487436
1449984	3458578
1458176	3429199
1466368	3399304
1474560	3368897
1482752	3337982
1490944	3306565
1499136	3274649
1507328	3242241
1515520	3209344
1523712	3175964
1531904	3142106
1540096	3107774
1548288	3072975
1556480	3037712
1564672	3001993
1572864	2965821
1581056	2929202
1589248	2892143
1597440	2854647
1605632	2816722
1613824	2778373
1622016	2739605
1630208	2700425
1638400	2660838
1646592	2620851
1654784	2580468
1662976	2539697
1671168	2498544
1679360	2457014
1687552	2415115
1695744	2372851
1703936	2330230
1712128	2287259
1720320	2243943
1728512	2200289
1736704	2156303
1744896	2111993
1753088	2067365
1761280	2022425
1769472	1977181
1777664	1931639
1785856	1885807
1794048	1839690
1802240	1793296
1810432	1746632
1818624	1699705
1826816	1652522
1835008	1605091
1843200	1557417
1851392	1509509
1859584	1461374
1867776	1413018
1875968	1364450
1884160	1315677
1892352	1266705
1900544	1217542
1908736	1168196
1916928	1118674
1925120	1068984
1933312	1019133
1941504	969128
1949696	918977
1957888	868688
1966080	818268
1974272	767725
1982464	717066
1990656	666299
1998848	615432
2007040	564472
2015232	513428
2023424	462305
2031616	411114
2039808	359860
2048000	308552
2056192	257198
2064384	205805
2072576	154381
2080768	102933
2088960	51471
2097152	0
-2097152	0
-2088960	-51471
-2080768	-102933
-2072576	-154381
-2064384	-205805
-2056192	-257198
-2048000	-308552
-2039808	-359860
-2031616	-411114
-2023424	-462305
-2015232	-513428
-2007040	-564472
-1998848	-615432
-1990656	-666299
-1982464	-717066
-1974272	-767725
-1966080	-818268
-1957888	-868688
-1949696	-918977
-1941504	-969128
-1933312	-1019133
